"date","sentiment_mean","sentiment_sd","monthly_tweet_count"
2006-06-01,0.153,,1
2006-08-01,0.153,,1
2006-11-01,0.144333333333333,0.114246808854048,3
2006-12-01,0.1735,0.637315228124984,6
2007-01-01,0.0293214285714286,0.454861821461613,56
2007-02-01,0.0199462365591398,0.382310605727839,93
2007-03-01,0.0863351351351352,0.363675883093168,185
2007-04-01,0.0806908212560386,0.360008186701105,414
2007-05-01,0.0663875432525951,0.368658447180617,289
2007-06-01,0.0686692913385827,0.356083351902142,381
2007-07-01,0.0160087336244541,0.383140934714023,458
2007-08-01,0.0404945533769063,0.358570337866009,459
2007-09-01,0.0744202682563338,0.308572832991218,671
2007-10-01,0.152579335793358,0.426572714729593,813
2007-11-01,0.0326058890147225,0.366809382938867,883
2007-12-01,0.00399076048329785,0.386694211417224,1407
2008-01-01,0.0970509977827051,0.360292459567184,1353
2008-02-01,0.0129842696629214,0.36294365671998,1335
2008-03-01,0.0905826575171553,0.368896479866102,1603
2008-04-01,0.0856407992565056,0.376138545190433,2152
2008-05-01,0.0907801556420234,0.387059066822859,2570
2008-06-01,0.0660628132308721,0.368974352665381,2993
2008-07-01,0.0622861522738886,0.356196320065466,3914
2008-08-01,0.0599097968936679,0.358132037865592,3348
2008-09-01,0.0579894551845344,0.38236375037458,6259
2008-10-01,0.0761692377495464,0.378815091675229,8816
2008-11-01,0.105796526665845,0.368566014579466,8119
2008-12-01,0.0944967774276712,0.37956066047935,13965
2009-01-01,0.0963118767622584,0.387142683342194,14542
2009-02-01,0.0680652776105022,0.385919027476875,16607
2009-03-01,0.0846260037399626,0.390438416189069,27276
2009-04-01,0.0902843018506524,0.394112740484763,35502
2009-05-01,0.043891342511319,0.39524131460133,32469
2009-06-01,0.0730401333195891,0.37683189277204,58206
2009-07-01,0.0665351014488587,0.378326207949676,69641
2009-08-01,0.0624447199483711,0.371222964908172,58882
2009-09-01,0.0502629142568119,0.367092193315278,90948
2009-10-01,0.0520422810043768,0.367957670989666,128123
2009-11-01,0.0372335143594377,0.392347609537187,107351
2009-12-01,0.0410530978596976,0.384855841095385,189184
2010-01-01,0.0815776197930767,0.404856907949867,84964
2010-02-01,0.0965358844448103,0.389435555975812,72836
2010-03-01,0.087225688719269,0.394904020714157,53978
2010-04-01,0.0892392750197006,0.386899943834186,63453
2010-05-01,0.070655136803075,0.375768908366636,80374
2010-06-01,0.0620553605986304,0.36804797235802,77513
2010-07-01,0.0583967730994717,0.370247695317065,82560
2010-08-01,0.0566537193456211,0.379551005484663,63694
2010-09-01,0.0809312438703749,0.384253100051228,47923
2010-10-01,0.106610868254447,0.392776752701134,39809
2010-11-01,0.133256248461659,0.38286999253031,44692
2010-12-01,0.116404907203523,0.391275889229823,47690
2011-01-01,0.107530552973978,0.385979853504197,43043
2011-02-01,0.111652195567361,0.387516567306513,48192
2011-03-01,0.0911496766924655,0.386949053998492,40829
2011-04-01,0.116479025644759,0.390649092490523,41218
2011-05-01,0.120098081620192,0.372065679114278,39306
2011-06-01,0.106711798252272,0.384032261785959,46120
2011-07-01,0.0985632446072842,0.377573793557988,41216
2011-08-01,0.0760960914602776,0.392131645280392,44698
2011-09-01,0.116394002068252,0.376790946816838,39651
2011-10-01,0.107892070098576,0.373002221872975,45651
2011-11-01,0.122486023705219,0.379017276432217,44969
2011-12-01,0.0972538284456011,0.400060052393661,39980
2012-01-01,0.0906430769230769,0.329649376942985,325
2012-02-01,0.0947424106340937,0.391047240768745,22271
2012-03-01,0.119338317898892,0.401999167371401,39524
2012-04-01,0.141755008447985,0.381292889501175,4143
2012-05-01,0.0936271551724138,0.351573410323245,465
2012-06-01,0.107238956418618,0.376556830680903,30358
2012-07-01,0.0595496709098801,0.39579549853488,55308
2012-08-01,0.0977166510172146,0.371724604466394,31951
2012-09-01,0.0978463697141443,0.381491397191728,36348
2012-10-01,0.084907593457944,0.38525596268337,8560
2012-11-01,0.110570725832443,0.379465371677404,58955
2012-12-01,0.107718077330241,0.384499378909226,39675
2013-01-01,0.12057810175543,0.381181006149173,3361
2013-02-01,0.104059587422562,0.377560397087886,46973
2013-03-01,0.106881728398796,0.364246223465426,66123
2013-04-01,0.106630754857997,0.373654740216354,26760
2013-05-01,0.0926605037773592,0.379348633720109,51492
2013-06-01,0.101142976629766,0.375843930070395,40652
2013-07-01,0.120110404361654,0.368927084091604,35217
2013-08-01,0.106950739989974,0.377432027765104,45879
2013-09-01,0.0753484372491918,0.370422007997415,43612
2013-10-01,0.0967355278702609,0.374230250022557,18623
2013-11-01,0.0132445632682349,0.407324433047089,30672
2013-12-01,0.0916559417445645,0.372619556327483,38727
2014-01-01,0.0783191766652874,0.378865427496536,48342
2014-02-01,0.0853805923942004,0.393816792257027,69450
2014-03-01,0.0928664750457272,0.3902495969012,7654
2014-04-01,0.101568263220732,0.387939326689606,28478
2014-05-01,0.0438103370721303,0.398251612751213,68918
2014-06-01,0.110350094269455,0.392503447599453,57813
2014-07-01,0.115927356162605,0.384882283721963,46198
2014-08-01,0.0886890058674214,0.389705132895433,48062
2014-09-01,0.120847398862925,0.378523768285194,60858
2014-10-01,0.1107436364312,0.381891241484852,53823
2014-11-01,0.110532182823599,0.407834167051474,76315
2014-12-01,0.0656036069129624,0.398582050234337,114338
2015-01-01,-0.00874799908244986,0.372201650498785,161308
2015-02-01,0.0163071882254246,0.387638984366357,124067
2015-03-01,-0.0141907749717978,0.382459140069433,115232
2015-04-01,0.00166888726482175,0.362756373856726,106728
2015-05-01,0.00925235797029089,0.379536676264973,185860
2015-06-01,0.0139176253056322,0.369029828555584,327203
2015-07-01,0.00638779906022114,0.368162575048401,250705
2015-08-01,-0.00202862762966145,0.361732111488252,179967
2015-09-01,-0.0336213881081076,0.364858511289688,115625
2015-10-01,-0.0274678708133977,0.384319024300529,41801
2015-11-01,0.0264284106484228,0.377133049569269,89741
2015-12-01,0.0419659564089686,0.380057775029694,336221
2016-01-01,0.00927181640196444,0.381578135036475,191027
2016-02-01,0.0686836158879979,0.398734052276141,164280
2016-03-01,0.00747491565244047,0.383844176459385,186431
2016-04-01,-0.0023028897705348,0.375254803944829,74608
2016-05-01,-0.00750559258082056,0.376082768724452,223426
2016-06-01,0.0132060407900746,0.381678736081927,111939
2016-07-01,-0.00741841784103185,0.38687962581561,164700
2016-08-01,-0.00307799050009415,0.359907155287068,96422
2016-09-01,0.00490564766485872,0.378075081419048,234505
2016-10-01,0.00099068168433014,0.390279662763455,219032
2016-11-01,0.0625357666593488,0.382000261501336,86604
2016-12-01,0.0379119119998595,0.38153779495015,56910
2017-01-01,-0.000966202852582833,0.380225058680727,114774
2017-02-01,-0.0110450384387934,0.386709669430862,84550
2017-03-01,0.0442602932464459,0.369764484277713,13504
2017-04-01,0.059129496969221,0.380411496105976,38111
2017-05-01,0.0463757523198327,0.385101949886892,57657
2017-06-01,0.00241660943339857,0.404260328429619,198023
2017-07-01,0.051939138954527,0.395395149356112,17353
2017-08-01,0.0484028791565288,0.403404637521608,29592
2017-09-01,-0.0460172637397632,0.400374344864946,94071
2017-10-01,0.0612477908585303,0.397733747478289,35422
2017-11-01,0.0224975403569027,0.404926885731817,69321
2017-12-01,0.0490868772478219,0.439359645484812,99827
2018-01-01,0.0192558384812425,0.417782742062778,39823
2018-02-01,0.0545360904584896,0.438488954518372,45192
2018-03-01,0.0533490758068237,0.440629238262655,60920
2018-04-01,0.023779113092548,0.448679355443693,46432
